doc_std_name;NumberOfPatentApplications
KATO YOSHIKAZU;398
FERRAIOLO FRANCESCO;398
TAKAHASHI SHOICHI;398
SANOFI PASTEUR LTD;398
MILDENBERGER HILMAR;398
NISHIMURA HIROBUMI;398
GUANGZHOU HUALING REFRIGERATION EQUIPMENT CO LTD;398
CHINA ROAD & BRIDGE CORP;398
ZHAO DONGLIANG;398
YAN ZHIYUAN;398
SUN CHANGJIANG;398
KIM JUN SEOK;398
LIANG ZHIHUI;398
WEI DONGDONG;398
KIM JONG KI;398
LIANG ZHICHENG;398
PARK JIN YONG;398
SHIRAI EIJI;398
WANG ZHENHU;398
FRANKRIJK.;398
MEXICHEM FLUOR SA DE CV;398
ZHANG HAIJUAN;398
NUR ISRAEL;398
TAKASE SHINICHI;398
LEI HAIPENG;398
MATSUMOTO MASAYUKI;398
CHOI WOO-JIN;397
TANAHASHI MASAKAZU;397
GUILLOTEL PHILIPPE;397
HE YUFENG;397
YU JIANCHENG;397
YOSHIDA HARUHIKO;397
TAKIZAWA MINORU;397
LAERDAL MEDICAL AS;397
YANG XIAOPENG;397
MAYER ROLAND;397
JIANG ZHONG;397
TODA TAKESHI;397
TATE & LYLE INGREDIENTS;397
YAMADA AKIHIKO;397
SPIGEN KOREA CO LTD;397
ATOFINA RES;397
NUNHEMS BV;397
GU CHEN;397
ABE HIROAKI;397
HE LIHUA;397
TERANO MINORU;397
STIRLING-GALLACHER RICHARD;397
ZHAO YUHUA;397
XIE XIAOWEI;397
CHILDERS ROBERT W;397
SECOND CONSTR ENG CO LTD;397
KOBAYASHI HARUO;397
KOJIMA TAKAYUKI;397
UNIV ZAOZHUANG;397
ZHENG WEIXIN;397
UEMATSU HIROSHI;397
WANG GUANGBIN;397
TANG MINGHUI;397
GOVYADINOV ALEXANDER;397
OSAWA RYUJI;397
ZHU XIAORONG;397
LIU XIAOXU;397
CHAMBERS CURTIS;397
ZF WIND POWER ANTWERPEN NV;397
MIYAZAWA AKIRA;397
TAKESHITA FUSAYUKI;397
SAMSUNG ELECTRIC;397
MATSUMOTO HISASHI;397
SMITH EDWARD DEWEY III;397
ZHANG SHUXIANG;397
SMITH RICHARD D;397
HEARN ALEX;397
SHIBATA MASANORI;397
FUKUSHIMA YOSHIAKI;397
NIMURA EIJI;397
LU HANG;397
NITROMED INC;397
HURTH KONSTANZE;397
ITO TAMOTSU;397
KIM SEONG HOON;397
LIU ZIJIAN;397
SATO MOTOHARU;397
NTAL NOJ FIZ;397
AOKI ICHIRO;397
KIBUN SHOKUHIN KK;397
ROSEMOUNT ENG CO LTD;397
HOOVER BALL & BEARING CO;397
TANI KAZUHIKO;397
CHEN YONGCHUN;397
WU SHOUTAO;397
SAKAKIBARA TEIGO;397
MILLER ROBERT C;397
KISHINO KAZUO;397
MUELLER CHRISTOPH;397
UNIV JIANGSU POLYTECHNIC;397
WUHAN XINXIN SEMICONDUCTOR MFG CORP;397
NISHIMATSU MASAHARU;397
MENG MENG;397
NORMAN MARK H;397
POWERS SAMAS ACCOUNT MACH LTD;397
OKUBO TAKAHIRO;397
IWATA MINORU;397
LIU MINGWEI;397
KONO KOJI;397
KIM SEUNG MIN;397
TAKEI MANABU;397
JIANGUO WANG;397
KOBAYASHI MASAMI;397
GUEY JIANN-CHING;397
LIANG HONGWEI;397
HIRABAYASHI JUN;397
HATTORI YOSHIFUMI;397
HARADA SHINICHI;397
PEETERS ERIC;397
JI HYOUNGJU;397
HARUTA MASAYUKI;397
PAN FUSHENG;397
TRIDONIC JENNERSDORF GMBH;397
ANDERSSON MATTIAS;397
FERNALD MARK R;397
NISHIBAYASHI YOSHIKI;397
ISOBE TAKASHI;397
FURUYA MASATO;397
ZANGS AG MASCHF;397
HAO JIANJUN;397
SCHULTE MICHAEL;397
SORIN CRM SAS;397
IKEDA KAZUTAKA;397
LIU XIAOJIANG;397
TSUCHIYA ATSUSHI;397
LIN LIJUN;397
SCHMIDT GUNTHER;397
AMERICAN COLLOID CO;397
LIU HAILI;397
GUO JUNHONG;397
TERASHITA TAKAAKI;397
TANAKA KAORU;397
NAT CT FOR ADVANCED PACKAGING;397
HAMADA HAJIME;397
ABEZIN VALENTIN GERMANOVICH;397
ANTON OILFIELD SERV GROUP LTD;397
YOKOTA TEPPEI;397
INDIAN HEAD INC;397
NAKAZAWA IKUO;397
NORAND CORP;397
DICKIE ROBERT G;397
YOSHIDA MASAMI;397
INOUE MAMORU;397
FUJIWARA UMI;397
SCOTT BADER CO;397
JIN SHI;397
OKUBO AKIRA;397
HARTIG KLAUS;397
KRUPP VDM GMBH;397
ISHIKAWA TOMOMI;397
DUCHATEAU PHILIPPE;397
SAKAI SHIGERU;397
CHWALISZ KRISTOF;397
KASAI TOSHIYUKI;397
LEE YOUNG HUN;397
BACKX LEO JACOBUS JOZEF;397
TAKAHASHI SADAYUKI;397
HADANO HIROYUKI;397
IVOCLAR AG;397
YANG TIANYU;397
UEDA KAZUYUKI;397
ERNEST WILDHABER;397
DENG ZHI;397
SASAKI KAZUYUKI;397
FAN LIPING;397
WANG CHENGWEN;397
ZIPFEL JOHANNES;397
SCHUSTER THOMAS;397
MARKOVIC GORAN;397
JIANG ZHONGSHENG;397
HU XIAOGUANG;396
KONG BIN;396
GUGLIELMOTTI ANGELO;396
GE HAO;396
PHARKYA PRITI;396
SAITO AKINORI;396
SHAH UDAY;396
GAO MEI;396
MARTIN BRIAN;396
DENG XIAOMING;396
XU JINBAO;396
KOCH WALTER;396
WEN HUA;396
KAWAKAMI TATSUO;396
TSUKAMOTO MASASHI;396
KYM PHILIP R;396
MORI SHOJI;396
PIKE KURT GORDON;396
DAL FARRA CLAUDE;396
UNIV DONG EUI IND ACAD COOP FO;396
COBAN MUHAMMED ZEYD;396
QIN LIN;396
ZHANG LIYANG;396
LIU DEJIN;396
UNIV CITY;396
URECH DAVID;396
XIE TINGTING;396
HAN LIJUAN;396
UENO MAKOTO;396
ZHONG LINGLONG;396
TAN XIANGYU;396
UNIV KUNMING MEDICAL;396
CHEN XIUJUAN;396
GUO SHAOHUA;396
MATSUMOTO TATSUYA;396
LIU KELIANG;396
KUTARAGI KEN;396
YAMAGUCHI FUMIHIKO;396
TAKAHASHI SATOMI;396
TSENG LI-CHIH;396
AOKI MASAYOSHI;396
JIN ZHENG;396
HIRAI YUICHI;396
NOHARA AKIRA;396
SCHUURMAN JANINE;396
LINGYUN LI;396
INAMOTO YOSHIAKI;396
ANHEUSER BUSCH;396
CHAE GEE SUNG;396
DEWERTOKIN GMBH;396
MORIYA YOSHIFUMI;396
YAMASHITA SADAO;396
SHI HAIJUN;396
MIYANAGA KK;396
KAWAKAMI YOSHIO;396
KIM TAE-HO;396
YUAN LIJUN;396
NYEGAARD & CO AS;396
HAYASHIDA YUKIO;396
GIGALANE CO LTD;396
OILGEAR CO;396
DING YIMIN;396
JUNG MICHAEL E;396
LUO ZHONG;396
CHENG XIAOLONG;396
BAJKO GABOR;396
MIN KYUNGYOON;396
SMETANA TOMAS;396
KOJIMA MASAYOSHI;396
LI JUNZHONG;396
FUJIMURA AKIRA;396
WANG SHENGQI;396
ZHU XIAOFANG;396
LI WENFEI;396
LUOYANG LYC BEARING CO LTD;396
WU LIWEN;396
HAREMZA SYLKE;396
CHENNAKESHU SANDEEP;396
LEE SEONG HUN;396
CHENGDU ZHONGSHAN TECHNOLOGY;396
QIAN LIANG;396
SCHNEIDER GUNTER;396
PATEL MAHESH VITHALBHAI;396
LU ZHONGLIN;396
TINEL HANNA;396
JAEGER MACHINE CO;396
HOU LILI;396
FUJITA YUTAKA;396
AIT AUSTRIAN INST TECHNOLOGY;396
ZHENG QING;396
IIDA KATSUMI;396
KAPELLER-LIBERMANN ROSANA;396
YOSHIKAWA SEIJI;396
YIJUN ZHU;396
LIANG HAIFENG;396
KIM JONG HAE;396
WANG PENGWEI;396
LI JUNYU;396
KAI MAKOTO;396
LIN JI;396
PARK JONG-HO;396
JOHNSON ROBERT A;396
ZHU WENCHAO;396
ARAI YOSHIYUKI;396
ANDERSON RICHARD N;396
CHOI SEUNG HO;396
KOBAYASHI MASAYA;396
LI FUXING;396
PANGBORN CORP;396
KUBOTA SHIGEO;396
P2I LTD;396
ONO AKIHIKO;396
QIU WEIMING;396
TOMIHASHI NOBUYUKI;396
WU MINGXING;396
KAWASHIMA PACKAGING MACH;396
CHOI YUN SEOK;396
LU TINGTING;396
OSTENDORF WARD WILLIAM;396
ADAMOVSKE STROJIRNY NP;396
YONEDA KIYOSHI;396
SUN JIANLIANG;396
GUANGZHOU METRO DESIGN & RES INSTITUTE CO LTD;396
IIDA YUSUKE;396
SHIMIZU MASATO;396
FRAMO ENG AS;396
WANG TIEZHU;396
LOPEZ OMAR D;396
MITSUBISHI KAGAKU SANSHI CORP;396
HAYASHI YUICHIRO;396
YU XINHAI;396
KURODA HIDEAKI;396
LI PENGBO;396
PARK SANG JOON;396
TIMKEN AXLE CO DETROIT;396
FRIEDRICH EMIL KRAUSS;396
MATSUMURA KENJI;396
ENICHEM POLIMERI;396
VILAINE JEAN-PAUL;396
JI DONG;396
ONO HIDEKAZU;396
INCUBE LABS LLC;396
SUZHOU TIANCHEN INT MED TECH;396
KRAUS MANFRED;396
REN JIANGUO;396
WU GUOHUI;396
RICHTER FRIEDRICH;396
BABA MOTOFUMI;396
MATSUI TOSHIYUKI;396
JIANG LIMIN;396
SHELDON TODD J;396
KB I INZH ZHELEZNODOROZH;396
SEITZ WERNER;396
HONDA KENICHI;396
ZHANG WENGE;396
MAEDA MASAYA;396
KRAUS BERNHARD;396
MANI INC;396
LI XINBO;396
GUO HONGYU;396
ZHANG FENGJUN;396
ZHAO GUOSONG;396
UNILIN BVBA;396
LEE HEON;396
JIANG ZHIHONG;396
NOGUCHI SHIGERU;396
ZHANG XINGRONG;396
CHEN MINGHAI;396
WU FANGFANG;396
VOSS HARTWIG;396
LI CHENGWEN;396
AFZALI-ARDAKANI ALI;396
WANG QIYUAN;396
MEIER HANS;396
REN XIN;396
KLIPPERT UWE;396
GENNUM CORP;396
LIU MEIHUA;396
LI DE;396
BERKELEY LIGHTS INC;396
SCHORNICK GUNNAR;396
LI GUORUI;396
ZHANG YINGBO;396
OGAWA TOSHIAKI;395
SUMASU ATSUSHI;395
KEIM NORBERT;395
HORIKOSHI HIROYOSHI;395
TAKIMOTO AKIO;395
TAKESHITA KOJI;395
FISCHER ROLAND;395
NAKAO SATORU;395
GONG FEI;395
UEDA HIROTADA;395
DOUWE EGBERTS TABAKSFAB;395
NASH KELVINATOR CORP;395
CAO YUJIE;395
ELLIS CARLETON;395
HORI HIROSHI;395
WILSON JONES CO;395
SONG HUACHENG;395
JING JING;395
FANG LU;395
MEADE THOMAS;395
WANG JINWEN;395
KUSASHIMA NAOKI;395
HEENAN & FROUDE LTD;395
MARKISON TIMOTHY W;395
ZENG XIANGJUN;395
SCHNELL URBAN;395
KURIYAMA AKIRA;395
ERMILOV ALEKSANDR B;395
OFINNO TECHNOLOGIES LLC;395
XU XIAOLING;395
SUZHOU TIANLING CHINESE TRADITIONAL MEDICINE SLICE CO LTD;395
MORISAKU NAOTO;395
MIYAZOE SHINJI;395
ZHAO MINGSHENG;395
WAKIYA KAZUMASA;395
NAT CAN CORP;395
KONDO MASANORI;395
KANDA YUTAKA;395
SHEN JINZHANG;395
KUDO HIROSHI;395
ZHANG BAOHUI;395
HAYASHI NOBUAKI;395
MERINO LOPEZ JOSE;395
SUN LIWEI;395
XIAO TING;395
HUANG JINCHENG;395
YI HUI;395
YANTAI JEREH PETROLEUM EQUIPMENT & TECHNOLOGIES CO LTD;395
UENO JUNICHI;395
LIU YANSHENG;395
ZHANG HUIQIN;395
TSAI ALLAN Y;395
ZHOU YUHUA;395
DONGGUAN SONGYAN ZHIDA IND DESIGN CO LTD;395
ZHANG XIULING;395
GAO QIFENG;395
DAVIES MICHAEL BIRSHA;395
LI ZONGTAO;395
ZHOU YONGXIN;395
BOUT ABRAHAM;395
HONG ZHEN;395
YAMAGUCHI KIMITOSHI;395
KATAKURA TAKAHIRO;395
HOOKER RODNEY E;395
NAKAGAWA KATSUYA;395
NIELSEN PER MUNK;395
KIM MIN JU;395
REN BING;395
ZHU GUORONG;395
KAERCHER ALFRED SE & CO KG;395
LI JINGDONG;395
LIEDTKE KURT;395
ZHONG JIANHUA;395
TOTAL FOERSTNER & CO;395
MIYAMOTO TSUTOMU;395
CHEN WENYU;395
QIN DONG;395
GUO SHANSHAN;395
MINE KATSUTOSHI;395
IMPINJ INC;395
ISHIBASHI YOSHIHITO;395
PARK JEONG WOO;395
ZHUANG XIANGYANG;395
HIMAX DISPLAY INC;395
LI SHUZHEN;395
IMAI NORIO;395
CHEN YUJIN;395
INABA SHIGEHO;395
JIN JIANPING;395
WANG YANLIANG;395
UEDA AKIHIKO;395
KUSHIDA NAOKI;395
HU ZHIHONG;395
MARSHALL JEREMY;395
TAKINO SHUNSUKE;395
WEN YANG;395
KIM WON;395
UNIV OXFORD;395
EGUCHI TAKEO;395
YAN JUNRONG;395
UNIV MUDANJIANG NORMAL;395
UNDERWOOD CORP;395
WIDMER HANSPETER;395
YAN BIAO;395
ZHANG LI NA;395
HAYAKAWA MASAHIRO;395
FURUSAWA SATOSHI;395
KOBAYASHI NORIHIRO;395
LI WEISHENG;395
BAI XIN;395
PAN JUNFENG;395
CHEN JINGWEI;395
WAKAO KAZUHIRO;395
KAMATA TORU;395
W & H DENTALWERK BUERMOOS GMBH;395
KIM KI NAM;395
WARN IND INC;395
STIN;395
DESMOND WALTER MOLINS;395
THOMAS ANDREW WILLIAM;395
ISHIGURO RYUJI;395
LIANG GUODONG;395
LEACH COLIN ANDREW;395
WESTERN STATES MACHINE CO;395
HAMADA YASUSHI;395
QIAN JIANHUA;395
MCGUIGAN CHRISTOPHER;395
UENAKA YUKIO;395
YAMAGUCHI YOSHIRO;395
IR INST ORGANICHESKOI;395
ZHU JIANDONG;395
XIE XIAOLIANG;395
SUN YONGLI;395
SUZUKI TOSHIMITSU;395
SHIIBA KAZUYUKI;395
KINOSHITA NOBORU;395
WANG GUANGXIN;395
NISHIZAWA HIROYUKI;395
KONG DEJIN;395
FAN GANG;395
MIYAZAKI HIDETO;395
ZHENG HAIHONG;395
LANG APPARATEBAU GMBH;395
LU ZHIPENG;395
YI FEI;395
LUO XIA;395
KASHIMA KEIJI;395
TAKASHINA TORU;395
MATSUI AKIO;395
LI JUNHAO;395
TRINITY SECURITY SYSTEMS INC;395
YONG ZHOU;395
SCHWINK LOTHAR;395
YOSHIMURA MASAHIRO;395
YIN ZHIQIANG;395
HIROSE OSAMU;395
HUANG ZHICHAO;395
NAGAI KIYOSHI;395
GUO QIN;395
MA JIANQIANG;395
ZHANG YUNLING;395
CHUNG SUNY;395
ZUCHERMAN JAMES F;395
MITSUBISHI HEAVY IND PRINTING;395
YANG YINMING;395
LIANG FAN;395
HAO ZHIGANG;395
LI FURONG;395
ZHANG ZHONGYU;395
LOCKE HELMUT;395
GUAN BING;395
CHOI SANG HO;395
MILLENNIUM INORGANIC CHEM;395
SUGIYAMA HITOSHI;395
KOBAYASHI KEN;395
SPRECKER MARK A;395
WANG XIANYONG;395
TOYOTA TSUSHO CORP;394
ZHANG LELE;394
ＪＵＫＩ株式会社;394
XIA GUOFU;394
JONES WILLIAM J;394
KAMIMURA TORU;394
YOSHIOKA TOSHIHIKO;394
ABE KEISUKE;394
WANG YANWU;394
CUI QING;394
EAGLE PICHER IND INC;394
UNIV KAIFENG;394
MAIER STEFAN;394
YABUNOUCHI NOBUHIRO;394
LI SHIBO;394
JIN HAIPENG;394
NANCHANG O-FILM TECH CO LTD;394
MATSUO SHINJI;394
KOMATSU SANKI KK;394
BOLZ STEPHAN;394
FEDERALNOE GOSUDARSTVENNOE KAZENNOE VOENNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA VOENNA;394
NAKASUGA AKIRA;394
NIU CHAO;394
NOMURA YUKIO;394
KONDO HIDEO;394
TORII TAKASHI;394
KIM JE WOO;394
JENOPTIK OPTICAL SYS GMBH;394
INTEGRATED CIRCUIT TESTING;394
YUAN LIPING;394
ZHANG ZHENFENG;394
NAGOYA OILCHEMICAL;394
GAO YANFENG;394
SHENYANG APPLIED ECOLOGY INST;394
ADOLESCENT SCI & TECH GUIDE;394
NAKANISHI KIYOSHI;394
LANGE CHRISTIAN;394
HIGASHIYAMA NAOHISA;394
SHIRAISHI HIROSHI;394
NAGANO OSAMU;394
LI KEXIN;394
ANDERSON DAVID W;394
TANG LIHUA;394
NISHIDA KOICHI;394
KIMOTO MAMORU;394
DUTTA SANDEEP;394
CELANESE VENTURES GMBH;394
NAM DONG KYUNG;394
XU ZHENGWEI;394
NING JINGHONG;394
YANG DAYONG;394
RYDNELL GUNNAR;394
MIDREX CORP;394
KONISHI TAKESHI;394
YU SHITAO;394
XU CHANGQING;394
DSC COMMUNICATIONS;394
CHANG CHIH-WEI;394
UNIV HONGHE;394
ZHANG WEIZHENG;394
XIE HUAIYU;394
ZENG XIAODONG;394
KIYAMA MAKOTO;394
EVANS SAMUEL;394
JIN WU;394
YE QI;394
YAMAMOTO KENTA;394
RAMSEY CORP;394
ZHOU FEN;394
TSUMAGARI YASUFUMI;394
YUASA SATOSHI;394
BRANSON ULTRASONICS CORP;394
CLOPAY PLASTIC PROD CO;394
BURGESS BATTERY CO;394
ZOU QUAN;394
TERADA KOJI;394
SHANGHAI ELECTRIC GROUP CO LTD;394
ATHLEY FREDRIK;394
ZHANG HAIXIN;394
BRAIG JAMES R;394
KOSHIN HIROAKI;394
KRAUSE JENS;394
TANAKA YOICHIRO;394
WU CAN;394
GHOSH ARUNABHA;394
HAYAKAWA EIJI;394
KOMURA YUKIO;394
WANG YIZHI;394
GUO MEI;394
HE JIANQIANG;394
CHEN JINYUAN;394
XU FANGLI;394
TANAKA TOHRU;394
SHINKO CHEM;394
PARK GI WON;394
SALVIAC LTD;394
ISHIKAWA MANABU;394
NIPPON INTER ELECTRONICS CORP;394
TAKANO KENJI;394
KRAEMER THOMAS;394
MORI YASUHIKO;394
SUGANO KOJI;394
FANG LIFENG;394
KANEMATSU DAIGORO;394
ZHENG XIAOCHUN;394
ISAKA KAZUO;394
SMITH KIM R;394
THUERINGISCHES INST TEXTIL;394
KERR CORP;394
MARCHENKO ANATOLII IVANOVYCH;394
INSTA ELEKTRO GMBH;394
HU LUNFU;394
KALVINS IVARS;394
OKAMOTO KOHEI;394
SEQUEIRA JOEL A;394
FUKUMOTO KOJI;394
HUR MIN;394
MUSSMANN NINA;394
HAMPEL CRAIG E;394
BAHRMANN HELMUT;394
UNIV CHUO;394
TANIGUCHI HIDEKI;394
SICHUAN ENGINEERING TECHNICAL COLLEGE;394
ZHAO ZHENXING;394
ELECTRIC POWER RES INST OF STATE GRID QINGHAI ELECTRIC POWER CO;394
CESKA ZEMEDELSKA UNIVERZITA V PRAZE;394
YANG WENJING;394
MARCO LESLIE S;394
BAYERN CHEMIE GMBH FLUGCHEMIE;394
XU HONGHUI;394
IMANISHI TAKASHI;394
LI JUNYAN;394
XU YUEMING;394
XI AN FUAN INNOVATION CONSULTATION CO LTD;394
NAKAYAMA TAKAO;394
WANHUA CHEMICAL NINGBO CO LTD;394
PERSSON MAGNUS;394
HU YANPING;394
KIMURA HISASHI;394
KOJIMA RIE;394
BSN MEDICAL INC;394
KANEKO YASUSHI;394
ZHANG QINGYUAN;394
ZHAO HONGYANG;394
KIM KI BUM;394
LIU BEN;394
ASAI MASAHIRO;394
LIU KAILIANG;394
GEN MILLS MARKETING INC;394
YU EUN SUN;394
JOHNSON THOMAS EDWARD;394
TAKEUCHI KIYOBUMI;394
LIU YAJING;394
GUDESEN HANS GUDE;394
YANG YUHUA;394
JAPAN ENGINE VALVE MFG;394
SKSHU PAINT CO LTD;394
DOGLIONI MAJER LUCA;394
LI HUAQIANG;394
LIU MINGYUE;394
LI QUNXING;394
NAKAGAWA YASUSHI;394
NAGAI HISAO;394
LI ZHENGYI;394
FUJIMORI MOTOYUKI;394
RUAN JIAN;394
SHIMADA TAKEZO;394
PARK JUNG KYU;394
WANG YUEDONG;394
HOYA CANDEO OPTRONICS CORP;394
TAKAHASHI KIWAMU;394
LE PROIZU ELMASH STR OB ELEKTR;394
MAKINO HIROYUKI;394
KURITA INDUSTRIAL CO LTD;394
SREDNEAZIAT NII PRIROD GAZA;394
FUZHOU ROCKCHIP ELECTRONICS CO LTD;394
IUCF SUNMOON UNIV;394
YOSHIKAWA MASAHIRO;394
CHEN JIWEI;394
NAKAGAWA SHINYA;394
ZHANG GUOJI;394
BORODY THOMAS JULIUS;394
FUJITSU MEDIA DEVICE KK;394
TAMURA YUKIO;394
CHEN YONGLI;394
MAGNETI MARELLI AUTOMOTIVE COMPONENTS WUHU CO LTD;394
SCHERZER DIETRICH;394
CHEN WEN-RONG;394
IIJIMA CHIYOAKI;394
YAMASHITA HIDEO;394
LI XUELI;394
MIYAZAKI TADASHI;394
IWAMOTO SHINICHI;394
ITOH KIYOO;394
OZAWA SHIGEYUKI;394
MANCOSU FEDERICO;394
VIDAL LAURENT;394
GASKA REMIGIJUS;394
DENG JUAN;394
JAIN GIRISH KUMAR;394
TANG TIAN;394
NEGISHI MAKOTO;394
BELRON HUNGARY KFT ZUG BRANCH;394
WANG HUIQIANG;394
KOEHLER BURKHARD;394
WIGERINCK PIET TOM BERT PAUL;394
HORI MASAHIRO;394
KLEEMANN HEINZ-WERNER DR;394
LI YUNHUI;394
LEE JAE-YONG;394
OKAMOTO MAMORU;394
SHENZHEN H&T INTELLIGENT CONTROL CO LTD;394
ONODA TAKESHI;394
UNIV SHANDONG WEIHAI;393
PAN BING;393
LI YUNHONG;393
CHOI JONG WON;393
HATORI SATOSHI;393
YEO YEE-CHIA;393
CHO HYUN MIN;393
JINDUICHENG MOLYBDENUM CO LTD;393
TAKASHIMA MASAYUKI;393
KAMURA HITOSHI;393
LUO ZHIXIAO;393
BARRETT STEPHEN DOUGLAS;393
ROGERS JOHN;393
ELECTRIC POWER SCIENCE RES INSTITUTE OF STATE GRID ANHUI ELECTRIC POWER CO LTD;393
ROCKWAY TODD W;393
OCHIAI HIROYUKI;393
HOLOPHANE CO INC;393
MONIZ THOMAS ORY;393
HUTCHINSON JOHN H;393
WEI ANDY;393
ROTHMANS OF PALL MALL;393
ZIJSLING DJURRE HANS;393
PHILIBERT DANIEL;393
JÖNGREN GEORGE;393
RIKEN LIGHT METAL IND CO;393
FREITAG DIETER DR;393
HORIUCHI TOSHIHIRO;393
WANG SHUIPING;393
CLARK DAVID;393
PANG KAI;393
ZHANG YIKUN;393
ABIKO TOSHIO;393
TAMURA AKIO;393
LI GUANGLIANG;393
MATTISSON SVEN;393
YAN SHUNGUO;393
YAMAMOTO TADAO;393
CSR LUOYANG CO LTD;393
SUZUKI NAOYUKI;393
ZHU WEIMING;393
SIMPLEHUMAN LLC;393
EGUCHI KAZUHIRO;393
GOTO SEI;393
KOMATSUBARA MICHIRO;393
BUDAPESTI VEGYIMUEVEK;393
LIU YUJING;393
MEC CO LTD;393
QINDAO HAIER WASHING MACHINE;393
CHEN JISHENG;393
KISHIOKA TAKAHIRO;393
FLEURY MELISSA;393
WADA FUMIO;393
ECEPDI CN POWER ENG CONS;393
POWDERJECT RES LTD;393
NAKAMURA TOMOHIKO;393
TAKEUCHI YASUO;393
TOKAI KONETSU KOGYO KK;393
MUELLER LUTZ;393
LEE IN HWAN;393
FUKUDA EIJI;393
FUJIMOTO TAKUYA;393
TAMURA YOSHITAKA;393
ZHANG XIAOZHE;393
ZHANG FUXIN;393
MENG DAN;393
RONGXIN POWER ELECTRONIC CO;393
ZHOU MINGDONG;393
JUNG MICHAEL;393
WANG WENBIAO;393
LI WEIQUAN;393
KURODA HIROMITSU;393
HOENES JOACHIM;393
LI SENLIN;393
HE ZHENHUA;393
XU HAIMING;393
ZHANG HUIHUA;393
LIU KEXIN;393
BAO XIAOJUN;393
KONDO HIDEYUKI;393
VNII METIZNOJ PROMY;393
SUGIMOTO TSUTOMU;393
UNIVERSAL KK;393
UMENO KOJI;393
OTA HAJIME;393
HOFMANN KARL;393
SATO TOMIO;393
MORI YOSUKE;393
YAMADA KAZUMI;393
NAKAI YOSHIYUKI;393
HONJO KENICHI;393
HAMANO HIROYUKI;393
甲骨文国际公司;393
BACK ARTHUR;393
IDDAN GAVRIEL J;393
ISHIBASHI TADASHI;393
KASAI TADASHI;393
CRIEL BJORN;393
YANG MAO;393
UCAR CARBON TECH;393
MATSUI TAKAHIRO;393
SATO TADAHISA;393
CARRIER ENGINEERING CO LTD;393
YOSHIKAWA YUKIO;393
CHEN SHEN;393
YU YONGQIANG;393
NAGAI ATSUSHI;393
KLINGER AG;393
DONG XIAOHONG;393
OMORI KENJI;393
MOCHIZUKI MASANORI;393
ICHIMURA KUNIHIRO;393
PEYMAN GHOLAM A;393
VENKATRAMAN SAI PRADEEP;393
CAO LONG;393
MIMURA HIDENORI;393
WANG HAITING;393
LIU ZIYANG;393
HAMMERSCHMIDT DIRK;393
KAWABATA KAZUHIRO;393
ZEHAVI EPHRAIM;393
KAWAMURA TOSHIO;393
VNII VAGONOSTROENIA;393
TVM BEIJING TECH CO LTD;393
HU YIFAN;393
PASQUERO JEROME;393
KOREAMINT;393
SHIN JONG MIN;393
CRESTRON ELECTRONICS INC;393
QUANTUM CHEM CORP;393
TSUNODA MASAYUKI;393
ZHONGTONG BUS HOLDING CO LTD;393
MARUYAMA TAKAHIRO;393
GRELAN PHARMACEUTICAL CO;393
XIE SHENGLI;393
KURIMOTO MASASHI;393
KHAIRATKAR-JOSHI NEELIMA;393
XIAO HUAHUA;393
LIU ZHONGMING;393
PRONOVA BIOPHARMA NORGE AS;393
FUJIAN JINHUA INTEGRATED CIRCUIT CO LTD;393
ZHANG SHICHENG;393
SMITH CHRISTOPHER JAMES;393
XU WENSHENG;393
ZHAO XIUHUA;393
ZHAO XIAOFEI;393
ZHAO XIAN;393
DAE CHANG CO LTD;393
YANO MAKOTO;393
IBARADA YOSHIOMI;393
SCHERR GUENTER;393
KAJIOKA HIROSHI;393
UNIV YONSEI WONJU INDUSTRY ACADEMIC COOPERATION FOUNDATION;393
MARTIN MARIETTA ENERGY SYSTEMS;393
YOSHINARI JIRO;393
TOLEDO SCALE MFG CO;393
SAWAI KIICHI;393
KANG DAL-MO;393
FUGANG ELECTRONICS DONGGUAN CO;393
CHEN RENJIE;393
KIM TAEK SOO;393
GUO WEIHUA;393
YANG BAOFENG;393
DOBSON PARK IND;393
OESTERR STUDIEN ATOMENERGIE;393
MURAKAMI MINORU;393
WANG XUYANG;393
FUJIMOTO SATOSHI;393
ODAKA HIROYUKI;393
KUBO TATSUYA;393
KUBO YASUHIRO;393
SAKATA YUJI;393
LIU BAOSHENG;393
KOMODA TAKUYA;393
ASANO KOJI;393
INST MODELIROVANIYA V ENERGETI;393
NODA TSUTOMU;393
LI XINRONG;393
FENG ZHIHUA;393
JIN BIAO;393
ACCIAI SPECIALI TERNI SPA;393
ONSERVNOJ I OVOSHCHESUSHIL NOJ;393
SOGABE ATSUSHI;393
DNAVEC RESEARCH INC;393
MCINTYRE DALE F;393
SUN HONGBING;392
LIU ANPING;392
FUJIAN XIHE SANITARY WARE TECH CO LTD;392
ZHENG FUJUN;392
JAROCH STEFAN;392
TODA TAKAO;392
OSADA HIROSHI;392
HOWA KASEI KK;392
ENI ENTE NAZ IDROCARB;392
ENGLAND PAUL;392
OSHKOSH CORP;392
PAN LING;392
PENG BIAO;392
LU WENBO;392
YANG WEIBING;392
LI FUHUA;392
DEPLA ERIK;392
CONVERSANT INTELLECTUAL PROPERTY MAN INC;392
STEVENSON ROBERT A;392
