doc_std_name;NumberOfPatentApplications
INTERDIGITAL TECH CORP;20275
BOEHRINGER INGELHEIM INT;20256
ZHANG XIN;20222
YANG JUN;20185
SANYO PRODUCT CO LTD;20148
HUGHES AIRCRAFT CO;20113
CITIZEN WATCH CO LTD;20078
TOYODA GOSEI KK;20075
BYD CO LTD;19997
FUNAI ELECTRIC CO;19990
WANG YANG;19918
CONTINENTAL AUTOMOTIVE GMBH;19909
SULZER AG;19790
EBARA CORP;19730
KOREA ADVANCED INST SCI & TECH;19689
YANG YANG;19675
DSM IP ASSETS BV;19628
ZHANG QIANG;19610
WANG PING;19576
LIU JIAN;19549
LINDE AG;19519
LIU TAO;19452
UNIV ZHEJIANG TECHNOLOGY;19372
AISIN AW CO;19312
HUANG WEI;19312
WANG YI;19258
NIPPON CATALYTIC CHEM IND;19190
LI TAO;19151
KYOCERA MITA CORP;19086
パナソニックＩＰマネジメント株式会社;19030
KONICA MINOLTA BUSINESS TECH;18975
JFE STEEL CORP;18911
HITACHI AUTOMOTIVE SYSTEMS LTD;18816
UNIV SHANDONG;18802
BAYER CROPSCIENCE AG;18783
HILTI AG;18778
AMAZON TECH INC;18769
AEG;18747
SK HYNIX INC;18746
SHIMANO KK;18622
UNIV HUAZHONG SCIENCE TECH;18550
US NAVY;18545
CHEN GANG;18520
AIR PROD & CHEM;18479
SHENZHEN CHINA STAR OPTOELECT;18455
UNIV JIANGNAN;18423
CHEN LEI;18409
SNECMA;18347
ISUZU MOTORS LTD;18343
UNIV XI AN JIAOTONG;18221
LG PHILIPS LCD CO LTD;18168
AMP INC;18146
XU WEI;18043
CHEN YONG;18032
HENKEL AG & CO KGAA;18003
ZHANG CHAO;17984
LIU HUI;17973
MICHELIN & CIE;17956
PFIZER PROD INC;17897
LIU GANG;17842
LIU YAN;17781
LIU BO;17766
CHEN JIE;17765
OSAKA GAS CO LTD;17750
GOOGLE LLC;17730
WANG DONG;17724
CARRIER CORP;17704
ASML NETHERLANDS BV;17661
HOYA CORP;17661
MITSUBISHI CHEM IND;17514
UNIV TEXAS;17450
ZHANG YING;17383
LIU YI;17378
LOY FERNAND;17320
SCHERING CORP;17285
LIU XIN;17235
UNIV BEIHANG;17223
UNIV KUNMING SCIENCE & TECH;17155
LIU YU;17113
ASAHI OPTICAL CO LTD;17092
METALLGESELLSCHAFT AG;17080
ZHANG LIANG;17059
NOVO NORDISK AS;17051
UNIV JIANGSU;17032
AT & T CORP;16980
AGFA GEVAERT AG;16963
MINOLTA CAMERA KK;16936
SUMITOMO METAL MINING CO;16933
HAMAMATSU PHOTONICS KK;16907
BRITISH TELECOMM;16874
LI LEI;16755
THALES SA;16753
SYNGENTA PARTICIPATIONS AG;16738
ZHANG FENG;16708
HYUNDAI ELECTRONICS IND;16688
ROUSSEL UCLAF;16649
YANG YONG;16611
HITACHI HIGH TECH CORP;16579
LIU PENG;16519
MANNESMANN AG;16518
ZHOU WEI;16471
JSR CORP;16462
LIU LEI;16430
LI XIANG;16378
NIPPON KOGAKU KK;16361
WANG QI;16331
NXP BV;16292
BENDIX CORP;16275
UNIV CHINA MINING;16252
SOLVAY;16251
ZHANG HONG;16228
CHEN HAO;16186
MONTEDISON SPA;16179
ZHAO WEI;16175
FUJITSU GENERAL LTD;16163
DAINIPPON SCREEN MFG;16154
SANOFI SA;16144
WANG KAI;16100
HEIDELBERGER DRUCKMASCH AG;16080
MEDIATEK INC;16069
MERCK SHARP & DOHME;16037
UNIV BEIJING TECHNOLOGY;16015
WANG HONG;16001
OGURA TOSHIO;15981
GEIGY AG J R;15979
LI CHAO;15955
ZHANG YANG;15922
NIPPON STEEL & SUMITOMO METAL CORP;15861
HONEYWELL INC;15851
TOKAI RIKA CO LTD;15849
GOODRICH CO B F;15784
MICHELIN RECH TECH;15754
KANEKA CORP;15737
TOSHIBA LIGHTING & TECHNOLOGY;15715
INVENTEC CORP;15711
CHEN TAO;15701
ZHANG MING;15696
CHEN LIANG;15687
ZHANG MIN;15646
UNIV CENTRAL SOUTH;15646
SHELL OIL CO;15643
WESTINGHOUSE ELECTRIC & MFG CO;15630
DAIHATSU MOTOR CO LTD;15621
TOYODA AUTOMATIC LOOM WORKS;15615
SMITHKLINE BEECHAM CORP;15609
G OBRAZOVATEL NOE UCHREZHDENIE;15586
WANG LIN;15542
NIPPON KAYAKU KK;15534
YANG FAN;15491
SHIMIZU CONSTRUCTION CO LTD;15489
MATSUSHITA ELECTRONICS CORP;15487
CHEN BIN;15465
BRITISH THOMSON HOUSTON CO LTD;15452
UNI CHARM CORP;15333
LI YI;15311
LIU FENG;15303
ZHANG KAI;15254
HITACHI SHIPBUILDING ENG CO;15204
UNIV SHANDONG SCIENCE & TECH;15195
LIU QIANG;15188
ROLLS ROYCE PLC;15186
KANEGAFUCHI CHEMICAL IND;15178
HITACHI INT ELECTRIC INC;15151
ERICSSON TELEFON AB L M (PUBL);15072
CHEN LI;15036
DOW AGROSCIENCES LLC;14988
UNIV DALIAN TECH;14982
LIU JING;14961
PANASONIC IP MAN CORP;14945
MASCHF AUGSBURG NUERNBERG AG;14913
RENESAS TECH CORP;14905
LI LIN;14895
DYNAMIT NOBEL AG;14861
TOKYO ELECTRIC CO LTD;14851
WANG RUI;14841
UNIV CHONGQING;14834
STANDARD TELEPHONES CABLES LTD;14831
CHEN YU;14818
UNIV TONGJI;14810
HYUNDAI MOBIS CO LTD;14773
SHISEIDO CO LTD;14769
INVENTIO AG;14683
BLACK & DECKER INC;14652
XU JUN;14633
UNIV GUANGDONG TECHNOLOGY;14615
NAT RES DEV;14587
CHEN YAN;14583
NISSAN CHEMICAL IND LTD;14581
SCHLUMBERGER TECHNOLOGY CORP;14550
TOSOH CORP;14535
YANG BO;14519
UNIV NANJING;14493
LIU LI;14493
OTIS ELEVATOR CO;14424
WANG LIANG;14421
PHILIP MORRIS PRODUCTS SA;14363
ARUZE CORP;14309
UNIV WUHAN;14292
LIU YING;14286
ZHANG HUA;14277
SANOFI AVENTIS DEUTSCHLAND;14239
LUCAS INDUSTRIES LTD;14233
SUWA SEIKOSHA KK;14226
INST NAT SANTE RECH MED;14213
AKZO NOBEL NV;14207
YOSHIDA KOGYO KK;14186
HARBIN INST OF TECHNOLOGY;14165
FRANCE TELECOM;14164
SK TELECOM CO LTD;14136
YANG JIE;14118
HALLIBURTON ENERGY SERV INC;14093
LI YING;14071
MITA INDUSTRIAL CO LTD;14063
COMMW SCIENT IND RES ORG;14058
EVONIK DEGUSSA GMBH;14045
UNIV SICHUAN;14044
WANG JIE;14042
MITSUI PETROCHEMICAL IND;14041
ZHANG LIN;14025
ASEA AB;14019
NOKIA TECHNOLOGIES OY;14018
THOMSON HOUSTON COMP FRANCAISE;14014
TOYOTA IND CORP;13992
GILLETTE CO;13991
LI HONG;13986
AMGEN INC;13970
RENAULT;13956
LI PING;13918
DAIDO STEEL CO LTD;13857
WYETH CORP;13843
WU JUN;13833
LION CORP;13832
FUJITSU TEN LTD;13811
PPG INDUSTRIES INC;13795
SMITHKLINE BEECHAM PLC;13764
UNITIKA LTD;13751
DELPHI TECH INC;13741
KOGYO GIJUTSUIN;13741
DAICEL CHEM;13730
IBIDEN CO LTD;13726
SUN WEI;13719
BOEHRINGER MANNHEIM GMBH;13672
HITACHI KOKI KK;13671
ZHANG QI;13668
KOITO MFG CO LTD;13654
UNIV LELAND STANFORD JUNIOR;13649
TOYO TIRE & RUBBER CO;13644
GAO FENG;13622
MITSUBISHI PAPER MILLS LTD;13606
CHEN XIN;13593
TOYOTA CENTRAL RES & DEV;13569
DENKI KAGAKU KOGYO KK;13554
RENAULT SA;13544
LI MIN;13518
KT CORP;13497
WEI WEI;13491
WU WEI;13477
UNIV XIDIAN;13456
LI HAO;13454
ZHANG FAN;13450
WANG MIN;13447
YOSHINO KOGYOSHO CO LTD;13439
UNIV WUHAN TECH;13343
UNITED MICROELECTRONICS CORP;13342
SUN MICROSYSTEMS INC;13335
NIKE INC;13322
CIBA SC HOLDING AG;13275
AGILENT TECHNOLOGIES INC;13247
WU HAO;13241
BAXTER INT;13199
MINOLTA CO LTD;13193
HUELS CHEMISCHE WERKE AG;13170
AMERICAN TELEPHONE & TELEGRAPH;13157
WANG JIN;13151
TEXACO DEVELOPMENT CORP;13148
GOLD STAR CO;13142
AT & T IP I LP;13139
PIRELLI;13136
ZHANG RUI;13134
ALLERGAN INC;13129
OSRAM OPTO SEMICONDUCTORS GMBH;13092
NIPPON ELECTRIC ENG;13081
UNIV SHANGHAI;13069
NISSHIN STEEL CO LTD;13038
STANLEY ELECTRIC CO LTD;13015
JIANG WEI;13002
WANG ZHEN;12987
KOREA INST SCI & TECH;12961
CHEN LIN;12942
TOKYO GAS CO LTD;12942
CHEN JING;12932
MONSANTO TECHNOLOGY LLC;12918
KONINKL PHILIPS NV;12880
TETRA LAVAL HOLDINGS & FINANCE;12871
NCR CO;12843
YANG WEI;12840
LIU CHAO;12799
TS TECH CO LTD;12799
CHEN HUI;12770
ZHOU JUN;12767
SAMSUNG HEAVY IND;12756
BOSTON SCIENT SCIMED INC;12756
ADVANTEST CORP;12749
PANASONIC ELEC WORKS CO LTD;12701
POLAROID CORP;12673
UNIV JINAN;12670
KLOECKNER HUMBOLDT DEUTZ AG;12662
DAIICHI SHOKAI KK;12656
CHEN FENG;12647
SEB SA;12578
LAM RES CORP;12572
SCHLUMBERGER TECHNOLOGY BV;12478
MANDO CORP;12470
STAUFFER CHEMICAL CO;12464
MATSUSHITA REFRIGERATION;12453
TAISEI CORP;12432
LI NING;12431
ICHIHARA TAKAAKI;12425
VIVO COMM TECHNOLOGY CO LTD;12399
YANMAR CO LTD;12395
ORACLE INT CORP;12377
ST MICROELECTRONICS SRL;12354
CATERPILLAR TRACTOR CO;12343
FREESCALE SEMICONDUCTOR INC;12341
WANG FANG;12329
SEIKO INSTR & ELECTRONICS;12322
THE INVENTOR HAS WAIVED THE RIGHT TO BE CITED;12255
YANG BIN;12210
KANEBO LTD;12209
MITSUI SHIPBUILDING ENG;12207
NIPPON SHEET GLASS CO LTD;12157
MOLEX INC;12146
HYUN DAI HEAVY IND CO LTD;12144
LIU KAI;12141
CHEN PENG;12119
BABCOCK HITACHI KK;12112
KAJIMA CORP;12081
SPERRY RAND CORP;12079
ATOMIC ENERGY AUTHORITY UK;12076
LIU HAO;12052
CONTINENTAL TEVES AG & CO OHG;12050
OTSUKA PHARMA CO LTD;12043
GUANGDONG MIDEA REFRIGERATION EQUIPMENT CO LTD;12042
BLACKBERRY LTD;12004
PIONEER HI BRED INT;11954
UNIVERSAL OIL PROD CO;11921
RHONE POULENC SA;11920
STAMICARBON;11914
SHI LEI;11910
ZHANG PING;11887
ETHICON ENDO SURGERY INC;11881
BAYER MATERIALSCIENCE AG;11802
YANG LEI;11798
LI BING;11786
ETHICON INC;11783
COUNCIL SCIENT IND RES;11782
CHEN CHAO;11774
UNIV GUANGXI;11772
SQUIBB & SONS INC;11759
TOSHIBA MEDICAL SYS CORP;11689
UNIV HOHAI;11664
FUJISAWA PHARMACEUTICAL CO;11610
ZHENGZHOU YUNHAI INFORMATION TECH CO LTD;11588
GEN HOSPITAL CORP;11510
RAJPUROHIT VISHAL;11485
CHEN BO;11477
SANDOZ LTD;11473
ITT;11469
LI DONG;11462
GEN ELECTRIC CO LTD;11452
UNIV NORTHEASTERN;11443
DAEWOO MOTOR CO LTD;11435
